begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
1,3,0,0,0,1932,0,32,0,11600,33,0,1,FL-J1,2.0,0.0,-0.263671875,-0.263671875
21,23,1,1,0,1566,0,8,1,11700,32,0,2,FL-J2,22.0,45.0,44.912109375,-0.087890625
41,43,2,2,0,3004,0,128,7,11800,42,0,3,FL-J3,42.0,90.0,91.318359375,1.318359375
61,63,3,3,0,2076,0,32,1,11700,34,0,4,FR-J1,62.0,0.0,0.263671875,0.263671875
81,83,4,4,0,2433,0,-8,0,11700,31,0,5,FR-J2,82.0,45.0,44.912109375,-0.087890625
101,103,5,5,0,1038,0,-160,11,11800,43,0,6,FR-J3,102.0,90.0,91.669921875,1.669921875
121,123,6,6,0,2101,0,-32,1,11600,35,0,7,RL-J1,122.0,0.0,0.263671875,0.263671875
141,143,7,7,0,1438,0,64,6,11700,32,0,8,RL-J2,142.0,45.0,44.296875,-0.703125
161,163,8,8,0,3012,0,200,14,11600,53,0,9,RL-J3,162.0,90.0,92.109375,2.109375
181,183,9,9,0,1955,0,40,1,11800,35,0,10,RR-J1,182.0,0.0,0.3515625,0.3515625
201,203,10,10,0,2761,0,-56,4,11700,33,0,11,RR-J2,202.0,45.087890625,44.47265625,-0.615234375
221,223,11,11,0,996,0,-216,18,11500,50,0,12,RR-J3,222.0,90.0,92.28515625,2.28515625
241,243,12,0,0,1932,0,32,0,11600,33,0,1,FL-J1,242.0,0.0,-0.263671875,-0.263671875
261,263,13,1,0,1565,0,8,1,11700,32,0,2,FL-J2,262.0,45.087890625,45.0,-0.087890625
281,283,14,2,0,3004,0,128,7,11800,42,0,3,FL-J3,282.0,90.0,91.318359375,1.318359375
301,303,15,3,0,2076,0,32,1,11700,34,0,4,FR-J1,302.0,0.0,0.263671875,0.263671875
321,323,16,4,0,2434,0,-16,0,11700,31,0,5,FR-J2,322.0,45.17578125,45.0,-0.17578125
341,343,17,5,0,1038,0,-160,12,11800,106,0,6,FR-J3,342.0,90.0,91.669921875,1.669921875
361,363,18,6,0,2101,0,-32,1,11600,34,0,7,RL-J1,362.0,0.0,0.263671875,0.263671875
381,383,19,7,0,1436,-50,72,7,11700,32,0,8,RL-J2,382.0,45.263671875,44.47265625,-0.791015625
401,403,20,8,0,3012,0,200,20,11700,53,0,9,RL-J3,402.0,90.0,92.109375,2.109375
421,423,21,9,0,1955,0,40,0,11700,35,0,10,RR-J1,422.0,0.0,0.3515625,0.3515625
441,443,22,10,0,2765,50,-56,4,11700,33,0,11,RR-J2,442.0,45.439453125,44.82421875,-0.615234375
461,463,23,11,0,996,0,-216,19,11500,50,0,12,RR-J3,462.0,90.0,92.28515625,2.28515625
481,483,24,0,0,1932,0,32,0,11600,33,0,1,FL-J1,482.0,0.0,-0.263671875,-0.263671875
501,503,25,1,0,1560,0,8,1,11700,32,0,2,FL-J2,502.0,45.52734375,45.439453125,-0.087890625
521,523,26,2,0,3004,0,128,8,11800,42,0,3,FL-J3,522.0,90.0,91.318359375,1.318359375
541,543,27,3,0,2076,0,32,0,11700,34,0,4,FR-J1,542.0,0.0,0.263671875,0.263671875
