send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
21,22,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
42,42,0.0,45.966796875,90.0,0.0,46.142578125,90.17578125,0.0,46.142578125,90.17578125,0.0,45.966796875,90.0
62,62,0.0,45.966796875,90.0,0.0,46.40625,90.615234375,0.0,46.40625,90.615234375,0.0,45.966796875,90.0
80,81,0.0,45.966796875,90.0,0.0,46.7578125,91.318359375,0.0,46.7578125,91.318359375,0.0,45.966796875,90.0
100,101,0.0,45.966796875,90.0,0.087890625,47.28515625,92.197265625,0.0,47.28515625,92.197265625,0.0,45.966796875,90.0
121,122,0.0,45.966796875,90.0,0.17578125,48.076171875,93.427734375,0.0,47.98828125,93.33984375,0.0,45.966796875,90.0
141,142,0.0,45.966796875,90.0,0.263671875,48.8671875,94.658203125,0.0,48.779296875,94.482421875,0.0,45.966796875,90.0
161,162,0.0,45.966796875,90.0,0.439453125,49.658203125,95.9765625,0.0,49.5703125,95.80078125,0.0,45.966796875,90.0
181,182,0.0,45.87890625,90.0,0.52734375,50.625,97.20703125,0.0,50.361328125,96.943359375,0.0,45.87890625,90.0
201,202,0.0,45.87890625,90.0,0.703125,51.328125,98.26171875,0.0,51.064453125,97.91015625,0.0,45.87890625,90.0
220,221,0.0,45.87890625,90.0,0.87890625,51.943359375,99.140625,0.0,51.6796875,98.61328125,0.0,45.87890625,90.0
240,241,0.0,45.87890625,90.0,1.23046875,52.3828125,99.66796875,0.0,52.119140625,99.140625,0.0,45.87890625,90.0
260,261,0.0,45.87890625,90.0,1.494140625,52.822265625,100.01953125,0.0,52.294921875,99.31640625,0.0,45.966796875,90.0
280,281,0.0,45.966796875,90.0,1.7578125,52.998046875,100.1953125,0.0,52.470703125,99.31640625,0.0,45.966796875,90.0
300,301,0.0,45.966796875,90.0,2.197265625,53.26171875,100.283203125,0.0,52.734375,99.31640625,0.0,45.966796875,90.0
320,321,0.0,46.142578125,90.0,2.63671875,53.525390625,100.458984375,0.0,52.822265625,99.31640625,0.0,46.142578125,90.0
340,341,0.0,46.23046875,90.0,2.98828125,53.701171875,100.72265625,0.0,52.91015625,99.31640625,0.0,46.23046875,90.0
360,361,0.0,46.318359375,90.0,3.427734375,53.876953125,100.8984375,0.0,52.998046875,99.31640625,0.0,46.318359375,90.0
380,381,0.0,46.494140625,90.0,3.8671875,54.140625,100.986328125,0.0,53.0859375,99.31640625,0.0,46.494140625,90.0
400,401,0.0,46.58203125,90.0,4.39453125,54.228515625,101.162109375,0.0,53.0859375,99.31640625,0.0,46.669921875,90.0
420,421,0.0,46.93359375,90.0,4.921875,54.31640625,101.42578125,0.0,53.0859375,99.31640625,0.0,46.93359375,90.0
440,441,0.0,47.109375,90.0,5.537109375,54.404296875,101.6015625,0.0,53.0859375,99.31640625,0.0,47.197265625,90.0
460,461,0.0,47.373046875,90.0,6.064453125,54.4921875,101.77734375,0.0,52.998046875,99.31640625,0.0,47.4609375,90.0
480,481,0.0,47.724609375,89.912109375,6.6796875,54.4921875,102.041015625,0.0,52.998046875,99.31640625,0.0,47.8125,89.912109375
500,501,0.0,48.076171875,89.912109375,7.294921875,54.4921875,102.216796875,0.0,52.822265625,99.31640625,0.0,48.076171875,89.912109375
520,521,0.0,48.515625,89.912109375,7.91015625,54.4921875,102.392578125,0.0,52.734375,99.31640625,0.0,48.515625,89.912109375
540,541,0.0,48.8671875,89.82421875,8.525390625,54.404296875,102.48046875,0.0,52.470703125,99.31640625,0.0,48.8671875,89.82421875
560,561,0.0,49.306640625,89.82421875,9.228515625,54.31640625,102.65625,0.0,52.294921875,99.31640625,0.0,49.306640625,89.82421875
580,581,0.0,49.658203125,89.736328125,9.84375,54.228515625,102.83203125,0.0,52.119140625,99.31640625,0.0,49.658203125,89.736328125
600,601,0.0,50.185546875,89.560546875,10.37109375,54.140625,102.919921875,0.0,51.943359375,99.31640625,0.0,50.09765625,89.560546875
620,621,0.0,50.712890625,89.47265625,10.986328125,53.96484375,103.0078125,0.0,51.6796875,99.31640625,0.0,50.537109375,89.47265625
640,641,0.0,51.064453125,89.384765625,11.6015625,53.7890625,103.095703125,0.0,51.416015625,99.31640625,0.0,50.9765625,89.384765625
662,662,0.0,51.591796875,89.208984375,12.216796875,53.701171875,103.18359375,0.0,51.240234375,99.31640625,0.0,51.416015625,89.296875
680,681,0.0,52.03125,89.12109375,12.83203125,53.525390625,103.271484375,0.0,50.888671875,99.404296875,0.0,51.767578125,89.208984375
700,701,0.0,52.3828125,89.033203125,13.359375,53.26171875,103.271484375,0.0,50.712890625,99.404296875,0.0,52.20703125,89.033203125
720,721,0.0,52.822265625,88.76953125,13.88671875,53.173828125,103.359375,0.0,50.537109375,99.31640625,0.0,52.470703125,88.857421875
740,741,0.0,53.173828125,88.681640625,14.4140625,52.998046875,103.359375,0.0,50.2734375,99.31640625,0.0,52.91015625,88.76953125
760,761,0.0,53.525390625,88.505859375,14.94140625,52.91015625,103.359375,0.0,50.09765625,99.31640625,0.0,53.173828125,88.681640625
780,781,0.0,53.7890625,88.41796875,15.380859375,52.734375,103.359375,0.0,49.921875,99.31640625,0.0,53.525390625,88.505859375
800,801,0.0,54.140625,88.2421875,15.8203125,52.55859375,103.359375,0.0,49.658203125,99.31640625,0.0,53.701171875,88.41796875
820,821,0.0,54.404296875,88.06640625,16.083984375,52.470703125,103.359375,0.0,49.5703125,99.31640625,0.0,53.96484375,88.330078125
840,841,0.0,54.580078125,87.978515625,16.5234375,52.3828125,103.359375,0.0,49.39453125,99.31640625,0.0,54.228515625,88.2421875
860,861,0.0,54.84375,87.890625,16.787109375,52.20703125,103.095703125,0.0,49.21875,99.140625,0.0,54.31640625,88.06640625
880,881,0.0,54.931640625,87.802734375,16.962890625,51.767578125,102.568359375,0.0,48.779296875,98.61328125,0.0,54.404296875,88.06640625
