t,walk_s,x_m,y_m,z_m,heading_deg,roll_deg,pitch_deg,phase,target_phase,linear,period_s,tracking_enabled,tracking_error_deg,voltage_v,safety,pose,moving,fl_load_n,fl_clearance_mm,fl_phase,fl_world_x_m,fr_load_n,fr_clearance_mm,fr_phase,fr_world_x_m,rl_load_n,rl_clearance_mm,rl_phase,rl_world_x_m,rr_load_n,rr_clearance_mm,rr_phase,rr_world_x_m,contact_load_sum_n,contact_slip_load_sum_n_m_s,command_0_deg,actual_0_deg,command_1_deg,actual_1_deg,command_2_deg,actual_2_deg,command_3_deg,actual_3_deg,command_4_deg,actual_4_deg,command_5_deg,actual_5_deg,command_6_deg,actual_6_deg,command_7_deg,actual_7_deg,command_8_deg,actual_8_deg,command_9_deg,actual_9_deg,command_10_deg,actual_10_deg,command_11_deg,actual_11_deg
0.0,,-5.6518509498353016e-05,7.085633692870318e-07,-0.07786516377149232,5.116134423977506e-06,0.00011103904951499774,0.0057399635517474245,0.0,0.0,0.0,1.4175000190734863,False,0.12440247417115675,10.788969470785592,ok,custom,False,9.203533565954915,-0.6780741704275582,0.0,0.21069928809904215,9.209687713181243,-0.6780978923688237,0.5,0.21069927926062157,7.595830340787666,-0.6713315782600413,0.5,-0.18829859354078204,7.602445061330167,-0.6713591690387377,0.0,-0.18829860251512873,33.61149668125399,0.22530363833547237,0.0,0.0024430778418728554,45.0,45.05050768875253,90.0,90.12430543358597,0.0,0.0026971573430844883,45.0,45.0505620991164,90.0,90.12440247417116,0.0,0.001607903534463814,45.0,45.03772674007344,90.0,90.10030027932504,0.0,0.0018449709996329238,45.0,45.03778477730894,90.0,90.10040419694293
0.02,,-0.001027127912602388,5.003458499533967e-06,-0.0800442841490742,6.511269732434072e-05,0.001072163613306265,0.06365291312385028,0.0,0.0,0.0,1.4175000190734863,False,0.7609148867193755,10.760346355371583,ok,custom,False,9.80098269729009,-2.0062829773843798,0.0,0.210725242899604,9.813265706360054,-2.006996677151207,0.5,0.2107252859803722,8.39760624313361,-1.8223001474889782,0.5,-0.18828508920869402,8.410322072268166,-1.8231250465027549,0.0,-0.18828502289053256,36.42217671905192,0.3548805437035533,0.0,0.034785720259656816,45.0,45.13323230112725,90.0,90.7601529275024,0.0,0.036442325739207145,45.0,45.13364881027537,90.0,90.76091488671938,0.0,0.023036268690386517,45.0,45.06018553010316,90.0,90.60906843008385,0.0,0.024498136879313497,45.0,45.06061911188498,90.0,90.60987439263177
0.04,,-0.002110784468208263,6.495315535193621e-06,-0.0807877751375592,4.2605610674038324e-05,0.0017411253526484211,0.05510684849192962,0.0,0.0,0.0,1.4175000190734863,False,0.9828311455766857,10.735538586244475,ok,custom,False,7.4035851804062185,-2.3122230436200994,0.0,0.21069801945272099,7.420390111866041,-2.3140176682296882,0.5,0.21069823438797644,7.967710303180989,-2.084071884344115,0.5,-0.18834452445404615,7.9826197790807045,-2.0859562866019017,0.0,-0.18834427251530084,30.774305374533952,0.1908943363167205,0.0,0.06655320475143083,45.0,44.960466763333805,90.0,90.98149971587789,0.0,0.068345291374387,45.0,44.96110055817328,90.0,90.98283114557668,0.0,0.050494757604530566,45.0,44.93112967342204,90.0,90.89996841874739,0.0,0.05218642959487122,45.0,44.931757192090764,90.0,90.90130540358112
0.06,,-0.002905167440245739,6.760034998953122e-06,-0.08093264196639698,-8.570036397868493e-05,0.0022286975545344,0.002194130162379466,0.0,0.0,0.0,1.4175000190734863,False,1.0609678514424314,10.720429337264296,ok,custom,False,6.208125175981146,-2.1610496767706864,0.0,0.21060222783197874,6.2277417617219895,-2.163980425762848,0.5,0.21060264789719554,7.867766671498451,-2.1027325761439237,0.5,-0.188446692248904,7.884446530622387,-2.1055104132425284,0.0,-0.188446240200819,28.188080139823974,0.1516808739258001,0.0,0.08777569379250252,45.0,44.772664753734716,90.0,91.0234635179532,0.0,0.08914538401529823,45.0,44.77338660691323,90.0,91.02530086612045,0.0,0.07742849851417197,45.0,44.803518622548445,90.0,91.0592048782448,0.0,0.07909077094905342,45.0,44.8041931913014,90.0,91.06096785144243
0.08,,-0.0033831236209136213,6.741098358928016e-06,-0.08089873948103571,-0.00025271980688411713,0.00261147226014686,-0.05478454045065109,0.0,0.0,0.0,1.4175000190734863,False,1.1478605154311663,10.715023200408327,ok,custom,False,5.787430677192557,-1.9101691226951316,0.0,0.2104814025455426,5.808565508597499,-1.9140623029643595,0.5,0.21048204625726835,7.813489494595332,-2.0778185180561106,0.5,-0.18854868028974053,7.83159996484609,-2.081305494884094,0.0,-0.18854803033167983,27.24108564523148,0.1510970289330147,0.0,0.10264720400776141,45.0,44.64803270428016,90.0,91.01425865679401,0.0,0.1035340889135249,45.0,44.648771222690954,90.0,91.0165343425083,0.0,0.10328975052505637,45.0,44.721396134130195,90.0,91.14577703840213,0.0,0.10493544787515449,45.0,44.722032022427975,90.0,91.14786051543116
0.1,,-0.003596334009378073,6.730138241501257e-06,-0.08083740580191055,-0.00038767010601066835,0.0028969829629021102,-0.09494854401114401,0.0,0.0,0.0,1.4175000190734863,False,1.1883218212802773,10.716109576651215,ok,custom,False,5.812837999613623,-1.7145227951599618,0.0,0.21037077460825845,5.834215539181481,-1.7191092431102852,0.5,0.21037166219788409,7.701944964888905,-2.0527865346182983,0.5,-0.1886258051315307,7.720558236369347,-2.056791502098785,0.0,-0.1886249595908368,27.069556740053354,0.1415082784571779,0.0,0.11499508576827111,45.0,44.594553493912436,90.0,90.99737380459065,0.0,0.11556138365113283,45.0,44.59527097159354,90.0,90.99996774514972,0.0,0.12773112656059774,45.0,44.687286900957076,90.0,91.1860029396627,0.0,0.1293817399852335,45.0,44.68787039372338,90.0,91.18832182128028
0.12,,-0.003644266481038199,6.7341552402060646e-06,-0.08077654941703251,-0.0004528125079206683,0.003078772946473906,-0.11129958447232391,0.0,0.0,0.0,1.4175000190734863,False,1.187890932134491,10.719727862568355,ok,custom,False,5.989379890645264,-1.610900044624046,0.0,0.21029363819472047,6.010415937940827,-1.615879096412247,0.5,0.21029477542146724,7.486632261632405,-2.023572719419664,0.5,-0.18866881799749205,7.5053070458846465,-2.0279126654615363,0.0,-0.18866777134573137,26.99173513610314,0.11791274072862243,0.0,0.12703329761239937,45.087890625,44.58655257707308,90.0,90.98051282009399,0.0,0.12748214641757136,45.087890625,44.587239535471504,90.0,90.9832895994105,0.0,0.15004845950128218,45.087890625,44.678310064198165,90.0,91.18540729105221,0.0,0.15167258825518368,45.087890625,44.67886554241998,90.0,91.1878909321345
0.14,,-0.0035910672072703583,6.6987501864857095e-06,-0.08072537978171133,-0.0004615745832616954,0.003152838514466998,-0.10939694216475974,0.0,0.0,0.0,1.4175000190734863,False,1.1653422454720372,10.719165925974439,ok,custom,False,6.066969284563878,-1.5763220177368344,0.0,0.2102495100365045,6.086895710497336,-1.5814431184199458,0.5,0.210250919691711,7.371531979320619,-1.9857841912079184,0.5,-0.18868369749842545,7.389718252671023,-1.9902994859925596,0.0,-0.18868242912666316,26.915115227052855,0.1024733067807383,0.0,0.13928668658669943,45.087890625,44.6075691375654,90.0,90.96935879562808,0.0,0.13975667318554516,45.087890625,44.60819924259412,90.0,90.97218119604547,0.0,0.169991752262817,45.087890625,44.68584983568557,90.0,91.16278673627893,0.0,0.17155840043474724,45.087890625,44.68637505282001,90.0,91.16534224547203
0.16,,-0.003400493038251329,6.665461782910437e-06,-0.08069332175737551,-0.00044585171402073705,0.0031452378879809496,-0.10212848973780306,0.0,0.0,0.0,1.4175000190734863,False,1.1444765395263394,10.724648684955287,ok,custom,False,6.239148250753827,-1.573809158933591,0.0,0.2102248464026333,6.257867455109308,-1.578874489329172,0.5,0.2102265202841286,7.281178603297332,-1.9523023574590201,0.5,-0.18868231054085305,7.298569914316712,-1.9568449846801457,0.0,-0.18868081030346812,27.076764223477177,0.09140523949223389,0.0,0.15147823917928038,45.17578125,44.665338209671354,90.0,90.96453336357028,0.0,0.15204747311601285,45.17578125,44.66589349985637,90.0,90.9673178752664,0.0,0.18828857176442299,45.17578125,44.72878072364477,90.0,91.14192723162479,0.0,0.18981482268672953,45.17578125,44.7292560797966,90.0,91.14447653952634
0.18,,-0.0031432149757975127,6.622069639175398e-06,-0.08066029847308427,-0.00041406231686608793,0.003081496385592018,-0.08980277718482722,0.0,0.0,0.0,1.4175000190734863,False,1.1139614567585754,10.727743427054445,ok,custom,False,6.311251190978604,-1.5915617414810346,0.0,0.21022281110004126,6.328711694611127,-1.5964407274812256,0.5,0.21022472535002876,7.155959412677596,-1.9204665805415826,0.5,-0.188663511661665,7.172457655528132,-1.924924396799938,0.0,-0.18866179243205633,26.96837995379546,0.07881203022817722,0.0,0.16383697789932222,45.17578125,44.736486268327276,90.0,90.95862793416156,0.0,0.16454318589093922,45.17578125,44.736961005779165,90.0,90.96132256347191,0.0,0.20469408258097135,45.17578125,44.78226011370512,90.0,91.11146206002057,0.0,0.20618392207591785,45.17578125,44.78268155254014,90.0,91.11396145675857
